REEF_ID,SECTOR,SHELF,REEF_NAME,LATITUDE,LONGITUDE,P_CODE,YEAR_CODE,VISIT_NO,REPORT_YEAR,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,REEF_YEAR_CODE_ID,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER
21305S,SW,O,EAST CAY REEF,-21.491667,152.558333,RM,199394,2,1994,6/04/1994,1994,4,21305S199394,26.5,26.0,15.0,0.0,0.0,19.858,0.0,0.189,0,53,0.0,0,0.0,1,-21.469817,152.5665,20/05/1994,28.69,14.53,47.7,9.09
21529S,SW,M,21529S,-21.866667,152.175,RM,199293,1,1993,1/10/1992,1992,10,21529S199293,25.0,25.5,20.0,0.0,0.0,33.438,0.0,0.781,0,32,0.0,0,0.0,1,-21.862583,152.18695,1/10/1992,38.98,45.38,2.56,13.08
21550S,SW,M,21550S,-21.958333,152.316667,RAP,201920,28,2020,13/01/2020,2020,1,21550S201920,32.0,27.6,45.0,2.5,2.5,45.988,2.616,2.035,0,43,0.0,76,1.76744186,1,-21.96115,152.316733,13/01/2020,53.64,45.67,0.59,0.1
21556S,SW,M,GANNETT CAY REEF,-21.983333,152.475,RM,201617,25,2017,20/01/2017,2017,1,21556S201617,31.1,27.9,50.625,2.5,2.5,47.625,4.125,2.125,1,20,0.05,67,3.35,1,-21.975817,152.479717,20/01/2017,54.1,31.9,11.9,2.1
21558S,SW,O,21558S,-21.558333,152.541667,RAP,200506,14,2006,10/01/2006,2006,1,21558S200506,32.3,26.9,45.0,7.5,0.0,39.623,18.892,0.708,1,53,0.019,73,1.377358491,1,-21.5403,152.547383,13/01/2006,36.5,9.2,22.6,31.7
21562S,SW,O,TURNER REEF,-21.725,152.558333,RM,199394,2,1994,21/05/1994,1994,5,21562S199394,24.4,26.0,25.0,0.0,0.0,26.152,0.0,0.294,1,51,0.02,0,0.0,1,-21.703067,152.560433,22/05/1994,29.2,24.96,41.31,4.54
21572S,SW,M,SMALL LAGOON REEF,-21.875,152.508333,RAP,201920,28,2020,20/01/2020,2020,1,21572S201920,32.0,27.6,25.0,2.5,2.5,24.946,2.609,3.315,190,46,4.13,21,0.456521739,1,-21.866933,152.526083,20/01/2020,55.59,34.5,1.19,8.32
21584S,SW,M,JENKINS REEF,-21.958333,152.6,RAP,201920,28,2020,18/01/2020,2020,1,21584S201920,32.0,27.6,2.5,2.5,0.0,2.5,3.077,0.385,1,39,0.026,235,6.025641026,1,-21.950183,152.6149,19/01/2020,84.56,5.54,9.02,0.88
21588S,SW,M,WADE REEF,-21.983333,152.65,RAP,201920,28,2020,18/01/2020,2020,1,21588S201920,32.0,27.6,2.5,7.5,0.0,2.845,15.603,0.776,3,29,0.103,140,4.827586207,1,-21.985383,152.659383,17/01/2020,80.65,2.12,15.26,1.97
21591S,PO,M,21591S,-21.025833,150.373,RAP,201112,20,2012,19/01/2012,2012,1,21591S201112,29.9,26.4,30.0,7.5,2.5,32.788,8.942,2.115,0,26,0.0,3,0.115384615,1,-21.026617,150.380733,19/01/2012,40.2,14.7,41.3,3.8
